X,Y,OBJECTID,STORENAME,ADDRESS,PHONE,year_opened,year_closed,PRESENT90,PRESENT95,PRESENT00,PRESENT05,PRESENT08,NOTES,X_COORD,Y_COORD,ADDRESS_ID,WARD,PRESENT09,PRESENT10,PRESENT11,PRESENT12,SSL,PRESENT13,PRESENT14,PRESENT15,PRESENT16,PRESENT17,ZIPCODE,PRESENT18
-76.98655151,38.88354906,1,Safeway,415 14th ST SE,2025474333,1990,0,Yes,Yes,Yes,Yes,Yes, ,401167.04,135078.34,26239,Ward 6,Yes,Yes,Yes,Yes,1042    0829,Yes,Yes,Yes,Yes,Yes,20003,Yes
-76.97274787,38.87413334,2,Yes! Organic,2323 Pennsylvania Ave S.E.,2025821480,2010,2013,No,No,No,No,No, ,402365.01,134033.39,48543,Ward 7,No,Yes,Yes,Yes,5560    0055,No,No,No,No,No,20020,No
-77.07299916,38.93435149,3,Giant,3336 Wisconsin Ave NW,2022445922,1995,0,No,Yes,Yes,Yes,Yes, ,393671.02,140720.27,223125,Ward 3,Yes,Yes,Yes,Yes,1920    0844,Yes,Yes,Yes,Yes,Yes,20016,Yes
-77.02485883,38.93845637,4,Safeway,3830 Georgia Ave NW,2028821140,1990,0,Yes,Yes,Yes,Yes,Yes, ,397845.01,141173.71,225076,Ward 4,Yes,Yes,Yes,Yes,2905    0814,Yes,Yes,Yes,Yes,Yes,20011,Yes
-76.9474572,38.89313978,5,Safeway,322 40th ST NE,2023972802,1990,0,Yes,Yes,Yes,Yes,Yes, ,404558.4,136144.21,295141,Ward 7,Yes,Yes,Yes,Yes,5051N   0840,Yes,Yes,Yes,Yes,Yes,20019,Yes
-77.03356775,38.90949911,6,Whole Foods,1440 P ST NW,2023324300,2005,0,No,No,No,Yes,Yes,Logan Circle,397088.79,137959.45,279174,Ward 2,Yes,Yes,Yes,Yes,0210    0128,Yes,Yes,Yes,Yes,Yes,20005,Yes
-77.03298601,38.92930823,7,Target,3100 14th Street Northwest,2027773773,2008,0,No,No,No,No,Yes, ,397140.04,140158.41,306304,Ward 1,Yes,Yes,Yes,Yes,2674    0721,Yes,Yes,Yes,Yes,Yes,20010,Yes
-77.03208537,38.92076211,8,Streets Market,2400 14TH ST NW,2022653300,2014,0,No,No,No,No,No,Street's,397217.8,139209.69,234183,Ward 1,No,No,No,No,2661    0864,No,Yes,Yes,Yes,Yes,20009,Yes
-77.07161524,38.92093428,9,Whole Foods,2323 Wisconsin Ave NW,2023335393,2000,0,No,No,Yes,Yes,Yes,Georgetown,393789.84,139230.75,284358,Ward 3,Yes,Yes,Yes,Yes,1299    1028,Yes,Yes,Yes,Yes,Yes,20007,Yes
-77.07921471,38.94910889,10,Whole Foods,4530 40th ST NW,2022375800,2000,0,No,No,Yes,Yes,Yes,Tenley Town location,393133.54,142358.92,265175,Ward 3,Yes,Yes,Yes,Yes,1770    0804,Yes,Yes,Yes,Yes,Yes,20016,Yes
-77.07645931,38.96555324,11,Magruder's,5626 Connecticut Ave NW,2024644946,1990,0,Yes,Yes,Yes,Yes,Yes, ,393373.92,144184.19,263860,Ward 3,Yes,Yes,Yes,Yes,1860    0013,Yes,Yes,Yes,Yes,Yes,20015,Yes
-77.04099387,38.92421518,12,Safeway,1747 Columbia Rd NW,2026670774,1990,0,Yes,Yes,Yes,Yes,Yes, ,396445.44,139593.32,284083,Ward 1,Yes,Yes,Yes,Yes,2580    0512,Yes,Yes,Yes,Yes,Yes,20009,Yes
